source,target
959004975690125312,904273548239396864
959004975690125312,1574703428948860929
959004975690125312,1478407692762980360
959004975690125312,1449901159586619392
959004975690125312,1445993648911486979
959004975690125312,1111557763065368576
959004975690125312,1525874203429416960
959004975690125312,1374031669007618048
959004975690125312,1551247874469441536
959004975690125312,1204044057221226500
959004975690125312,1553492994
959004975690125312,1079298061472579585
959004975690125312,2268331026
959004975690125312,2862288654
959004975690125312,1335822589940404225
959004975690125312,824140508587028480
959004975690125312,897844333591842817
959004975690125312,860385134725414912
959004975690125312,964718137
959004975690125312,1532971878884720644
959004975690125312,1491116266102431744
959004975690125312,1415601107993337859
959004975690125312,1175324704468602880
959004975690125312,481900616
959004975690125312,1413974418045296644
959004975690125312,1408049420415930371
959004975690125312,1439677890719854608
959004975690125312,1196690685522595840
959004975690125312,1427468915177787395
959004975690125312,1375125435122479107
959004975690125312,1106039824165695488
959004975690125312,1470052689547517962
959004975690125312,1463792042912456707
959004975690125312,1067057681284952064
959004975690125312,1362389444150484997
959004975690125312,1483097021561061381
959004975690125312,1500544593825349636
959004975690125312,1347450835819765761
959004975690125312,1130182159032094722
959004975690125312,1413434807514632198
959004975690125312,1483824465368731648
959004975690125312,940173137337036800
959004975690125312,754405172621746176
959004975690125312,1475673969315487746
959004975690125312,1214820759090212864
959004975690125312,1477305967490523143
959004975690125312,1417914864064946182
959004975690125312,1422883636563546112
959004975690125312,1429025644462084102
959004975690125312,1195302290468540416
959004975690125312,1429262317623996425
959004975690125312,1418794665248165888
959004975690125312,2299004564
959004975690125312,1219665325345714177
959004975690125312,1448302223386161156
959004975690125312,1474276158816624640
959004975690125312,1439951143958896642
959004975690125312,1380435929328930824
959004975690125312,1277674085561090048
959004975690125312,1451833344803606530
959004975690125312,1447151500011220995
959004975690125312,1438540629840171015
959004975690125312,1248211155862138880
959004975690125312,771352864782422016
959004975690125312,1446888295435317255
959004975690125312,1447456018590539786
959004975690125312,1459910405069938690
959004975690125312,1447617117210173440
959004975690125312,1401205226380697602
959004975690125312,1445458581604626433
959004975690125312,4850767911
959004975690125312,1222568828896530435
959004975690125312,1236200347913408513
959004975690125312,1470826991783919621
959004975690125312,1359056676268212224
959004975690125312,908256941461442560
959004975690125312,1313719014376517633
959004975690125312,1441361355911548941
959004975690125312,1461392412987858944
959004975690125312,1435837623713648644
959004975690125312,1458847952751972357
959004975690125312,1445824118629322753
959004975690125312,1234140674594873345
959004975690125312,1435581368742862853
959004975690125312,1408308698401984515
959004975690125312,1371021504662618112
959004975690125312,1455997481100132353
959004975690125312,1258192888321773572
959004975690125312,1226600222358409218
959004975690125312,1170373798111170566
959004975690125312,1450655128340606981
959004975690125312,1465117758824357888
959004975690125312,1350292856347504643
959004975690125312,1267419343970881536
959004975690125312,1459490301458980867
959004975690125312,827046865048891393
959004975690125312,1378745395925426183
959004975690125312,1420751472585678863
959004975690125312,1452940511833174016
959004975690125312,1438209659505098756
959004975690125312,1425165856087199745
1491681657019322370,1582669890938281984
1491681657019322370,1468783800813449220
1491681657019322370,1506953557043716107
1491681657019322370,3579934636
1491681657019322370,1265492303646466050
1491681657019322370,1583506212183842816
1491681657019322370,1583362281983053829
1491681657019322370,1506143501494349824
1491681657019322370,1368446961553010691
1491681657019322370,1449903929886756866
1491681657019322370,1442405551019749378
1491681657019322370,1363416443728003077
1491681657019322370,1581579649884487680
1491681657019322370,1575160876503601160
1491681657019322370,1492384876888477697
1491681657019322370,1570814842608680962
1491681657019322370,1579033086024507393
1491681657019322370,1497602304622669830
1491681657019322370,1578674660161748992
1491681657019322370,1506547552950566913
1491681657019322370,1481902271793610764
1491681657019322370,1343791772196024320
1491681657019322370,1433745612537741318
1491681657019322370,1549844641960210432
1491681657019322370,768097548703719425
1491681657019322370,1570650306563952642
1491681657019322370,1533737323216744448
1491681657019322370,1566613275546361856
1491681657019322370,1568254970243448832
1491681657019322370,1572615261253144576
1491681657019322370,3754495572
1491681657019322370,1523335480036978688
1491681657019322370,1539786963833724933
1491681657019322370,1483270125117587458
1491681657019322370,1517345116171960321
1491681657019322370,1500863933569069059
1491681657019322370,1481641245558870019
1491681657019322370,1347347428878462977
1491681657019322370,1564519679707971585
1491681657019322370,1503574503611572224
1491681657019322370,1522059949362540544
1491681657019322370,753922187959099392
1491681657019322370,1423083328547147779
1491681657019322370,2441378246
1491681657019322370,1540995424227557377
1491681657019322370,1480179106847199234
1491681657019322370,1562382902117421057
1491681657019322370,1566698704400179201
1491681657019322370,1530321013594017792
1491681657019322370,1506582850035847168
1491681657019322370,954397214004031489
1491681657019322370,1484778983262765057
1491681657019322370,1544153999716352000
1491681657019322370,1567883046355075072
1491681657019322370,1543343708946530305
1491681657019322370,1523495215901908992
1491681657019322370,1568977091257077761
1491681657019322370,1290285180498804736
1491681657019322370,1479387645528662021
1491681657019322370,1541702813733949440
1491681657019322370,1487094066123010048
1491681657019322370,1564711026267869185
1491681657019322370,1440958598905958401
1491681657019322370,1325696356770459648
1491681657019322370,1549677501336657920
1491681657019322370,1290468849469489152
1491681657019322370,1540518654206308352
1491681657019322370,1486230676001390596
1491681657019322370,1479419793262485504
1491681657019322370,1498532872327737346
1491681657019322370,1459069047547772932
1491681657019322370,1567588324092805120
1491681657019322370,1479479888809979904
1491681657019322370,1523576282893725696
1491681657019322370,1566694958203293697
1491681657019322370,1559057928094904320
1491681657019322370,1520795655979126785
1491681657019322370,1507658753914511363
1491681657019322370,1566717738508505089
1491681657019322370,1451288366088130560
1491681657019322370,1521792146096984064
1491681657019322370,1556577844976836609
1491681657019322370,1483999206016618500
1491681657019322370,1559480133609672706
1491681657019322370,1558049993117863939
1491681657019322370,1553988710164750336
1491681657019322370,1519957288798224384
1491681657019322370,1557357722877562881
1491681657019322370,1565753190360006656
1491681657019322370,709733224964993025
1491681657019322370,1564354702221152256
1491681657019322370,1459289938604793861
1491681657019322370,1480723568245850117
1491681657019322370,1557631252848869376
1491681657019322370,1532284066292240385
1491681657019322370,1377566130194157570
1491681657019322370,1341582819315785728
1491681657019322370,1552990968760107013
1491681657019322370,1429758799473254400
1491681657019322370,1555749078562000896
1491681657019322370,1565209779857166336
1552567517222019078,1360249989272793088
1552567517222019078,1574414573288890368
1552567517222019078,904629934320005120
1552567517222019078,1534266019811930112
1552567517222019078,1550395071870255104
1552567517222019078,1514167468759339014
1552567517222019078,1527004638385475584
1552567517222019078,1524621049446690817
1552567517222019078,1526573692251213825
1552567517222019078,1422616052073070594
1552567517222019078,1482596568398438403
1552567517222019078,1533004326100410368
1552567517222019078,1187234857761595393
1552567517222019078,1542740505380810752
1552567517222019078,1549274286908551168
1552567517222019078,1478416048978161665
1552567517222019078,1560546630587543552
1552567517222019078,1569217176321818625
1552567517222019078,1578341338151813120
1552567517222019078,1572009073234825216
1552567517222019078,1567828526686150658
1552567517222019078,1571883292466778118
1552567517222019078,1558919353537802240
1552567517222019078,1567513378196983808
1552567517222019078,1536039124393680896
1552567517222019078,1465854053863329801
1552567517222019078,1442809450742501376
1552567517222019078,1461820450229698564
1552567517222019078,1190171375463534592
1552567517222019078,1548655624418107392
1552567517222019078,1560661851511214086
1552567517222019078,1546467555589533696
1552567517222019078,1554863187522355200
1552567517222019078,1561234665742077957
1552567517222019078,1562626978536374273
1552567517222019078,1407512845936304130
1552567517222019078,1565352236191846401
1552567517222019078,1563989906011344898
1552567517222019078,1567381541629706241
1552567517222019078,1382791908481634305
1552567517222019078,1048630680643465216
1552567517222019078,1493065402368217088
1552567517222019078,1350183165831200768
1552567517222019078,1556367333723086849
1552567517222019078,1548268579409104898
1552567517222019078,1498232724582068225
1552567517222019078,1563015828760854528
1552567517222019078,1157091217
1552567517222019078,1480521244797640704
1552567517222019078,1564429229282177024
1552567517222019078,1552620491768475648
1552567517222019078,1559468926341373953
1552567517222019078,1537287887938801664
1552567517222019078,1417881613459935239
1552567517222019078,1562768741372284928
1552567517222019078,1547699975856857092
1552567517222019078,1534034630093213696
1552567517222019078,1536377632916652033
1552567517222019078,905843784554074113
1552567517222019078,1554711121546059776
1552567517222019078,1293213501700182016
1552567517222019078,898792837709312000
1552567517222019078,1534401247603617793
1552567517222019078,1549633770608676865
1552567517222019078,1554173491959955456
1552567517222019078,1539445771992707072
1552567517222019078,1550807344908767232
1552567517222019078,1525395919256301569
1552567517222019078,1136566007483387909
1552567517222019078,1367118664831356935
1552567517222019078,1522484637855096833
1552567517222019078,1551484334628274177
1552567517222019078,1542417595273740289
1552567517222019078,1500845094286475266
1552567517222019078,1518210062560366592
1552567517222019078,1511511022233739264
1552567517222019078,1559035779921608704
1552567517222019078,1551917784237371392
1552567517222019078,1304340161451311104
1552567517222019078,1551492093993922563
1552567517222019078,1556336160129302528
1552567517222019078,1728877249
1552567517222019078,1549994767907360771
1552567517222019078,1374981574718976002
1552567517222019078,1531224992696115200
1552567517222019078,1555921596883554304
1552567517222019078,1541278346079772672
1552567517222019078,1557081630673870848
1552567517222019078,1557088573190733824
1552567517222019078,2432637784
1552567517222019078,1524382199650209792
1552567517222019078,1539268816827748352
1552567517222019078,1492128067921543168
1552567517222019078,1331984785279918081
